Response_ID,Q1_Age_Group,Q2_Gender,Q3_Nationality_Cluster,Q4_Monthly_Income,Q5_Favorite_Sport,Q6_Favorite_Team,Q7_Fan_Type,Q8_Own_Jerseys,Q9_Jerseys_Owned,Q10_Jersey_Type_Interest,Q11_Authentication_Importance,Q12_Preferred_Condition,Q13_Player_Popularity_Importance,Q14_Rarity_Importance,Q15_Vintage_Interest,Q16_Willingness_to_Spend,Q17_Purchase_Frequency,Q18_Discount_Influence,Q19_Recommendation_Influence,Q20_Wishlist_Behavior,Q21_Would_Use_Platform,Q22_Trust_Factors,Q23_Would_Resell,Q24_Loyalty_Interest,Q25_Feature_Ranking
147,25-34,Male,South Asian,"Below 3,000",Football,Al Hilal,Investment buyer,Yes,1-3,Game-Worn,5,Mint (perfect),4,4,Somewhat interested,50-200,5-10 times a year,No impact,"Yes, definitely","Yes, occasionally",Definitely yes,Money-back guarantee; Seller ratings and reviews,Maybe,"Yes, strongly",Authentication verification > AI-based recommendations > Dynamic pricing transparency > Rarity scoring system
148,55-65,Female,South Asian,"3,000-10,000",Cricket,Pakistan National,Investment buyer,Yes,11-25,Limited Edition,3,Mint (perfect),5,4,Somewhat interested,Under 50,More than 10 times a year,No impact,"No, I prefer browsing on my own","Yes, frequently",Not sure,Third-party authentication certificates; Money-back guarantee; Seller ratings and reviews,Maybe,Not really,Authentication verification > Rarity scoring system > AI-based recommendations > Dynamic pricing transparency
149,18-24,Male,South Asian,"10,001-20,000",Football,PSG,Casual viewer,Yes,4-10,Regular replica,3,"Used (visible wear, but authentic)",4,5,"Yes, very interested",Under 50,Once a year or less,Strongly influences,Maybe,"Yes, frequently",Probably no,AI-powered authenticity checks; Blockchain verification; Seller ratings and reviews,No,Somewhat,Rarity scoring system > Authentication verification > Dynamic pricing transparency > AI-based recommendations
150,18-24,Male,Arab,"10,001-20,000",Football,Arsenal,Casual viewer,No,,Regular replica,1,"Used (visible wear, but authentic)",5,2,Somewhat interested,Under 50,More than 10 times a year,Somewhat influences,Maybe,"Yes, occasionally",Not sure,Blockchain verification; Third-party authentication certificates,Yes,Not really,Dynamic pricing transparency > Authentication verification > Rarity scoring system > AI-based recommendations
151,18-24,Male,South Asian,"3,000-10,000",Football,Al Ahly,Passionate fan,Yes,26+,Regular replica,3,"Used (visible wear, but authentic)",3,3,Somewhat interested,Under 50,2-4 times a year,Somewhat influences,Maybe,"Yes, occasionally",Not sure,AI-powered authenticity checks; Third-party authentication certificates,No,"Yes, strongly",Authentication verification > Rarity scoring system > AI-based recommendations > Dynamic pricing transparency
152,25-34,Male,African,"10,001-20,000",Other,Team India Hockey,Passionate fan,No,,Game-Worn,2,"Used (visible wear, but authentic)",5,3,Somewhat interested,50-200,Once a year or less,Strongly influences,Maybe,No,Definitely no,Third-party authentication certificates; Money-back guarantee; Seller ratings and reviews,Yes,"Yes, strongly",Authentication verification > Dynamic pricing transparency > AI-based recommendations > Rarity scoring system
153,25-34,Male,East Asian,"3,000-10,000",Football,Liverpool,Casual viewer,No,,Vintage,4,Mint (perfect),3,2,Not interested,Under 50,Once a year or less,No impact,"Yes, definitely","Yes, occasionally",Probably no,Money-back guarantee,No,Somewhat,Rarity scoring system > AI-based recommendations > Authentication verification > Dynamic pricing transparency
154,25-34,Male,Western Expat,"10,001-20,000",Baseball,Chicago Cubs,Passionate fan,Yes,4-10,Vintage,3,Good (minor wear),4,3,Not interested,50-200,2-4 times a year,Strongly influences,"No, I prefer browsing on my own","Yes, frequently",Not sure,Blockchain verification; AI-powered authenticity checks,Maybe,Somewhat,Dynamic pricing transparency > Rarity scoring system > AI-based recommendations > Authentication verification
155,55-65,Male,South Asian,"10,001-20,000",Cricket,RCB,Hardcore collector,Yes,11-25,Signed by player,4,Condition doesn't matter if rare,3,3,Somewhat interested,201-500,5-10 times a year,No impact,"No, I prefer browsing on my own","Yes, occasionally",Definitely yes,Third-party authentication certificates; Seller ratings and reviews; Money-back guarantee; AI-powered authenticity checks,Yes,Not really,Authentication verification > AI-based recommendations > Dynamic pricing transparency > Rarity scoring system
156,25-34,Prefer not to say,South Asian,"35,001-50,000",Other,None Specific,Casual viewer,No,,Regular replica,1,Good (minor wear),4,2,Somewhat interested,201-500,2-4 times a year,Strongly influences,"No, I prefer browsing on my own",No,Probably yes,Money-back guarantee; Seller ratings and reviews,Maybe,Not really,Authentication verification > AI-based recommendations > Dynamic pricing transparency > Rarity scoring system
157,35-44,Female,Arab,"3,000-10,000",Football,Chelsea,Investment buyer,Yes,11-25,Game-Worn,4,Good (minor wear),1,4,Not interested,Under 50,More than 10 times a year,Somewhat influences,"No, I prefer browsing on my own","Yes, occasionally",Definitely yes,Money-back guarantee; Blockchain verification,Maybe,"Yes, strongly",Authentication verification > AI-based recommendations > Dynamic pricing transparency > Rarity scoring system
158,18-24,Female,South Asian,"35,001-50,000",Basketball,Miami Heat,Casual viewer,No,,Regular replica,1,Good (minor wear),4,2,Not interested,50-200,2-4 times a year,Somewhat influences,"No, I prefer browsing on my own",No,Not sure,Blockchain verification,Maybe,Somewhat,AI-based recommendations > Authentication verification > Dynamic pricing transparency > Rarity scoring system
159,18-24,Male,African,"3,000-10,000",Football,Al Ahly,Casual viewer,No,,Limited Edition,2,Good (minor wear),4,4,Somewhat interested,201-500,2-4 times a year,Somewhat influences,"Yes, definitely",No,Probably no,Seller ratings and reviews; Third-party authentication certificates; Blockchain verification; Money-back guarantee,Maybe,Somewhat,Rarity scoring system > AI-based recommendations > Authentication verification > Dynamic pricing transparency
160,18-24,Male,African,"10,001-20,000",Football,Arsenal,Passionate fan,Yes,1-3,Limited Edition,4,Mint (perfect),2,3,Somewhat interested,201-500,2-4 times a year,Strongly influences,Maybe,"Yes, occasionally",Not sure,Third-party authentication certificates; AI-powered authenticity checks; Seller ratings and reviews; Blockchain verification,Yes,Somewhat,Authentication verification > Rarity scoring system > Dynamic pricing transparency > AI-based recommendations
161,35-44,Male,Arab,"Below 3,000",Football,Al Hilal,Hardcore collector,Yes,11-25,Signed by player,5,Mint (perfect),2,5,"Yes, very interested","1,501-3,000",More than 10 times a year,Somewhat influences,"Yes, definitely","Yes, occasionally",Not sure,Third-party authentication certificates; AI-powered authenticity checks,Yes,Not really,Authentication verification > AI-based recommendations > Dynamic pricing transparency > Rarity scoring system
162,,Female,Western Expat,"10,001-20,000",Basketball,LA Lakers,Passionate fan,Yes,4-10,Signed by player,2,"Used (visible wear, but authentic)",4,4,Somewhat interested,"501-1,500",2-4 times a year,No impact,Maybe,"Yes, occasionally",Definitely yes,Money-back guarantee,Yes,Somewhat,Authentication verification > AI-based recommendations > Rarity scoring system > Dynamic pricing transparency
163,45-54,Male,Other,"3,000-10,000",Football,Manchester United,Investment buyer,Yes,26+,Regular replica,3,Mint (perfect),3,4,"Yes, very interested",201-500,2-4 times a year,No impact,Maybe,"Yes, occasionally",Probably yes,Blockchain verification; AI-powered authenticity checks; Money-back guarantee; Seller ratings and reviews,Yes,"Yes, strongly",Authentication verification > Rarity scoring system > AI-based recommendations > Dynamic pricing transparency
164,25-34,Prefer not to say,South Asian,"35,001-50,000",Football,Arsenal,Hardcore collector,Yes,1-3,Game-Worn,4,Mint (perfect),3,4,Not interested,201-500,5-10 times a year,No impact,Maybe,No,Definitely yes,Blockchain verification; Money-back guarantee; Third-party authentication certificates,Maybe,Somewhat,Authentication verification > Rarity scoring system > AI-based recommendations > Dynamic pricing transparency
165,18-24,Male,Western Expat,"20,001-35,000",Cricket,India National,Casual viewer,No,,Signed by player,2,Good (minor wear),5,1,Somewhat interested,50-200,2-4 times a year,Somewhat influences,"Yes, definitely","Yes, occasionally",Probably yes,Seller ratings and reviews,No,Somewhat,Dynamic pricing transparency > Rarity scoring system > Authentication verification > AI-based recommendations
166,25-34,Male,East Asian,"35,001-50,000",Other,New Zealand All Blacks,Investment buyer,Yes,4-10,Signed by player,2,Good (minor wear),2,4,"Yes, very interested",201-500,5-10 times a year,Somewhat influences,"Yes, definitely","Yes, occasionally",Not sure,Third-party authentication certificates; AI-powered authenticity checks; Blockchain verification; Money-back guarantee,Yes,"Yes, strongly",Authentication verification > Rarity scoring system > AI-based recommendations > Dynamic pricing transparency
167,25-34,Female,East Asian,"Below 3,000",Football,Al Hilal,Passionate fan,No,,Limited Edition,4,Mint (perfect),3,3,Somewhat interested,201-500,2-4 times a year,Somewhat influences,"Yes, definitely","Yes, occasionally",Probably no,Money-back guarantee; Blockchain verification,Maybe,Somewhat,Dynamic pricing transparency > AI-based recommendations > Authentication verification > Rarity scoring system
168,25-34,Male,Arab,"3,000-10,000",Football,Manchester United,Passionate fan,Yes,4-10,Limited Edition,3,Good (minor wear),3,2,"Yes, very interested",201-500,5-10 times a year,Strongly influences,"Yes, definitely","Yes, occasionally",Probably no,Money-back guarantee; Seller ratings and reviews; AI-powered authenticity checks,Maybe,Somewhat,Dynamic pricing transparency > AI-based recommendations > Authentication verification > Rarity scoring system
169,55-65,Male,South Asian,"20,001-35,000",Football,Al Ahly,Investment buyer,Yes,4-10,Signed by player,4,Mint (perfect),3,4,"Yes, very interested",201-500,Once a year or less,No impact,Maybe,"Yes, frequently",Definitely yes,AI-powered authenticity checks; Blockchain verification; Third-party authentication certificates,Maybe,Not really,Authentication verification > Rarity scoring system > AI-based recommendations > Dynamic pricing transparency
170,25-34,Female,Arab,"3,000-10,000",Baseball,Boston Red Sox,Casual viewer,No,,Regular replica,1,"Used (visible wear, but authentic)",4,1,Not interested,50-200,Once a year or less,No impact,Maybe,"Yes, frequently",Not sure,AI-powered authenticity checks; Money-back guarantee,Maybe,"Yes, strongly",Dynamic pricing transparency > Authentication verification > AI-based recommendations > Rarity scoring system
171,35-44,Female,East Asian,"Below 3,000",Football,Chelsea,Investment buyer,Yes,11-25,Game-Worn,3,Mint (perfect),4,4,Somewhat interested,50-200,More than 10 times a year,No impact,Maybe,"Yes, occasionally",Probably yes,Blockchain verification; Third-party authentication certificates; Money-back guarantee,Yes,Somewhat,Authentication verification > AI-based recommendations > Dynamic pricing transparency > Rarity scoring system
172,35-44,Male,East Asian,"3,000-10,000",Football,Arsenal,Casual viewer,Yes,1-3,Limited Edition,3,"Used (visible wear, but authentic)",3,1,Not interested,50-200,2-4 times a year,Strongly influences,"No, I prefer browsing on my own","Yes, frequently",Probably no,Seller ratings and reviews; AI-powered authenticity checks; Third-party authentication certificates,Yes,Somewhat,Rarity scoring system > AI-based recommendations > Dynamic pricing transparency > Authentication verification
173,18-24,Male,Arab,"10,001-20,000",Football,Bayern Munich,Casual viewer,Yes,4-10,Limited Edition,3,"Used (visible wear, but authentic)",4,2,Somewhat interested,201-500,2-4 times a year,No impact,"Yes, definitely","Yes, occasionally",Definitely no,Money-back guarantee; AI-powered authenticity checks,Maybe,Not really,Authentication verification > Rarity scoring system > Dynamic pricing transparency > AI-based recommendations
174,35-44,Male,Arab,"20,001-35,000",Football,Manchester United,Investment buyer,Yes,4-10,Vintage,4,Good (minor wear),3,4,"Yes, very interested",50-200,5-10 times a year,No impact,Maybe,"Yes, occasionally",Definitely yes,Blockchain verification; Seller ratings and reviews,Yes,Somewhat,Authentication verification > AI-based recommendations > Dynamic pricing transparency > Rarity scoring system
175,18-24,Male,Western Expat,"20,001-35,000",Baseball,Chicago Cubs,Casual viewer,Yes,4-10,Signed by player,1,Good (minor wear),2,4,Not interested,Under 50,2-4 times a year,Somewhat influences,Maybe,No,Not sure,AI-powered authenticity checks,No,Somewhat,AI-based recommendations > Dynamic pricing transparency > Rarity scoring system > Authentication verification
176,35-44,Male,Arab,"10,001-20,000",Football,AC Milan,Hardcore collector,Yes,26+,Game-Worn,3,Mint (perfect),1,5,"Yes, very interested","501-1,500",2-4 times a year,Strongly influences,Maybe,No,Not sure,Seller ratings and reviews; Blockchain verification,No,"Yes, strongly",Authentication verification > AI-based recommendations > Dynamic pricing transparency > Rarity scoring system
177,45-54,Male,Arab,"Below 3,000",Basketball,Chicago Bulls,Investment buyer,Yes,1-3,Signed by player,3,Condition doesn't matter if rare,4,3,Somewhat interested,"501-1,500",2-4 times a year,No impact,"No, I prefer browsing on my own",No,Probably yes,Blockchain verification; AI-powered authenticity checks; Third-party authentication certificates,Yes,Somewhat,Authentication verification > Rarity scoring system > AI-based recommendations > Dynamic pricing transparency
178,18-24,Female,South Asian,"20,001-35,000",Football,Real Madrid,Passionate fan,Yes,11-25,Limited Edition,4,"Used (visible wear, but authentic)",3,3,Somewhat interested,201-500,More than 10 times a year,Somewhat influences,Maybe,"Yes, occasionally",Definitely yes,Blockchain verification; AI-powered authenticity checks,No,"Yes, strongly",Rarity scoring system > Dynamic pricing transparency > Authentication verification > AI-based recommendations
179,35-44,Male,Arab,"3,000-10,000",Football,Chelsea,Hardcore collector,Yes,11-25,Signed by player,3,Good (minor wear),1,4,"Yes, very interested","1,501-3,000",More than 10 times a year,No impact,"Yes, definitely","Yes, occasionally",Probably yes,Third-party authentication certificates; AI-powered authenticity checks; Blockchain verification; Money-back guarantee; Seller ratings and reviews,Maybe,"Yes, strongly",Authentication verification > Rarity scoring system > AI-based recommendations > Dynamic pricing transparency
180,18-24,Male,African,"Above 50,000",Football,Bayern Munich,Hardcore collector,Yes,11-25,Signed by player,4,Mint (perfect),3,4,"Yes, very interested",201-500,5-10 times a year,Somewhat influences,"No, I prefer browsing on my own","Yes, occasionally",Definitely yes,Blockchain verification; AI-powered authenticity checks,Yes,"Yes, strongly",Authentication verification > AI-based recommendations > Dynamic pricing transparency > Rarity scoring system
181,25-34,Female,South Asian,"3,000-10,000",Cricket,RCB,Casual viewer,No,,Regular replica,3,Condition doesn't matter if rare,3,2,Somewhat interested,50-200,Once a year or less,Strongly influences,"Yes, definitely","Yes, occasionally",Not sure,Blockchain verification; Money-back guarantee; Seller ratings and reviews,Maybe,"Yes, strongly",AI-based recommendations > Authentication verification > Dynamic pricing transparency > Rarity scoring system
182,18-24,Male,Arab,"10,001-20,000",Other,New Zealand All Blacks,Casual viewer,Yes,1-3,Regular replica,3,Good (minor wear),3,3,Somewhat interested,50-200,Once a year or less,Somewhat influences,"No, I prefer browsing on my own","Yes, frequently",Probably yes,Seller ratings and reviews,No,Not really,Rarity scoring system > Authentication verification > Dynamic pricing transparency > AI-based recommendations
183,18-24,Male,South Asian,"20,001-35,000",Basketball,Chicago Bulls,Passionate fan,Yes,4-10,Regular replica,3,Good (minor wear),5,3,"Yes, very interested","3,000+",2-4 times a year,Somewhat influences,Maybe,"Yes, occasionally",Not sure,Blockchain verification; Seller ratings and reviews; Money-back guarantee,Maybe,"Yes, strongly",Authentication verification > Dynamic pricing transparency > Rarity scoring system > AI-based recommendations
184,18-24,Male,African,"10,001-20,000",Football,Barcelona,Investment buyer,Yes,4-10,Limited Edition,3,"Used (visible wear, but authentic)",3,5,Somewhat interested,,5-10 times a year,No impact,"Yes, definitely","Yes, occasionally",Probably yes,Money-back guarantee; Blockchain verification; Third-party authentication certificates,Yes,"Yes, strongly",Authentication verification > Rarity scoring system > AI-based recommendations > Dynamic pricing transparency
185,55-65,Female,South Asian,"10,001-20,000",Cricket,India National,Passionate fan,Yes,11-25,Regular replica,3,Mint (perfect),3,4,"Yes, very interested","1,501-3,000",2-4 times a year,No impact,Maybe,"Yes, frequently",Not sure,Third-party authentication certificates; AI-powered authenticity checks; Money-back guarantee,Maybe,Not really,Dynamic pricing transparency > Rarity scoring system > AI-based recommendations > Authentication verification
186,18-24,Male,South Asian,"3,000-10,000",Other,None Specific,Passionate fan,Yes,11-25,Limited Edition,3,Condition doesn't matter if rare,3,2,"Yes, very interested",201-500,5-10 times a year,Strongly influences,"Yes, definitely","Yes, occasionally",Definitely yes,Third-party authentication certificates; Money-back guarantee; AI-powered authenticity checks,Maybe,Somewhat,Authentication verification > AI-based recommendations > Dynamic pricing transparency > Rarity scoring system
187,25-34,Male,Arab,"3,000-10,000",Football,AC Milan,Passionate fan,Yes,1-3,Limited Edition,5,Mint (perfect),4,2,Somewhat interested,201-500,Once a year or less,No impact,"No, I prefer browsing on my own","Yes, occasionally",Definitely yes,Third-party authentication certificates; Blockchain verification,No,Somewhat,Authentication verification > AI-based recommendations > Rarity scoring system > Dynamic pricing transparency
188,35-44,Male,African,"3,000-10,000",Other,Multiple Teams,Investment buyer,Yes,26+,Game-Worn,4,Mint (perfect),4,4,Somewhat interested,Under 50,5-10 times a year,Somewhat influences,Maybe,No,Probably no,Seller ratings and reviews; AI-powered authenticity checks; Blockchain verification; Money-back guarantee,Yes,"Yes, strongly",Authentication verification > AI-based recommendations > Dynamic pricing transparency > Rarity scoring system
189,45-54,Male,East Asian,"10,001-20,000",Football,AC Milan,Casual viewer,No,,Regular replica,2,Mint (perfect),5,1,Somewhat interested,Under 50,More than 10 times a year,Strongly influences,"Yes, definitely","Yes, occasionally",Probably yes,AI-powered authenticity checks,Yes,Somewhat,AI-based recommendations > Authentication verification > Dynamic pricing transparency > Rarity scoring system
190,25-34,Female,Western Expat,"20,001-35,000",Basketball,Golden State Warriors,Investment buyer,Yes,4-10,Limited Edition,3,Good (minor wear),5,4,Somewhat interested,,More than 10 times a year,Strongly influences,"Yes, definitely","Yes, occasionally",Not sure,Blockchain verification; Seller ratings and reviews; Third-party authentication certificates; Money-back guarantee,Yes,Not really,Authentication verification > Rarity scoring system > AI-based recommendations > Dynamic pricing transparency
191,35-44,Male,East Asian,"Below 3,000",Baseball,Chicago Cubs,Hardcore collector,Yes,1-3,Signed by player,3,Mint (perfect),3,3,"Yes, very interested",201-500,2-4 times a year,No impact,"No, I prefer browsing on my own","Yes, frequently",Definitely yes,Seller ratings and reviews; Money-back guarantee; AI-powered authenticity checks; Blockchain verification; Third-party authentication certificates,No,Somewhat,Authentication verification > Rarity scoring system > AI-based recommendations > Dynamic pricing transparency
192,25-34,Female,African,"20,001-35,000",Other,Multiple Teams,Investment buyer,Yes,4-10,Game-Worn,5,Mint (perfect),2,4,Somewhat interested,"501-1,500",5-10 times a year,No impact,"Yes, definitely","Yes, occasionally",Definitely no,AI-powered authenticity checks; Seller ratings and reviews; Blockchain verification; Third-party authentication certificates,Yes,"Yes, strongly",Authentication verification > Rarity scoring system > AI-based recommendations > Dynamic pricing transparency
193,35-44,Male,Western Expat,"10,001-20,000",Baseball,NY Yankees,Passionate fan,No,,Regular replica,4,Condition doesn't matter if rare,2,3,Somewhat interested,50-200,2-4 times a year,Strongly influences,"No, I prefer browsing on my own","Yes, frequently",Probably no,Money-back guarantee,Maybe,Somewhat,Rarity scoring system > Dynamic pricing transparency > AI-based recommendations > Authentication verification
194,18-24,Male,East Asian,"3,000-10,000",Basketball,Chicago Bulls,Passionate fan,Yes,1-3,Vintage,3,Good (minor wear),4,2,Somewhat interested,201-500,Once a year or less,Somewhat influences,"Yes, definitely",No,Not sure,Seller ratings and reviews; Money-back guarantee; AI-powered authenticity checks,No,Somewhat,Authentication verification > Dynamic pricing transparency > Rarity scoring system > AI-based recommendations
195,25-34,Female,South Asian,,Football,Al Hilal,Passionate fan,Yes,4-10,Game-Worn,3,Good (minor wear),4,3,Not interested,50-200,2-4 times a year,Strongly influences,Maybe,"Yes, occasionally",Definitely yes,Money-back guarantee,Maybe,"Yes, strongly",Rarity scoring system > Authentication verification > AI-based recommendations > Dynamic pricing transparency
196,25-34,Male,Arab,"Above 50,000",Football,Manchester United,Investment buyer,Yes,26+,Limited Edition,5,Condition doesn't matter if rare,3,3,"Yes, very interested","3,000+",Once a year or less,No impact,"No, I prefer browsing on my own",No,Definitely yes,Money-back guarantee; Blockchain verification; AI-powered authenticity checks,Yes,Somewhat,Authentication verification > AI-based recommendations > Dynamic pricing transparency > Rarity scoring system
197,45-54,Male,Other,"10,001-20,000",Baseball,LA Dodgers,Investment buyer,No,,Regular replica,4,Condition doesn't matter if rare,4,4,Somewhat interested,201-500,More than 10 times a year,Somewhat influences,"No, I prefer browsing on my own","Yes, frequently",Probably no,Money-back guarantee; AI-powered authenticity checks,Yes,Not really,Authentication verification > Rarity scoring system > AI-based recommendations > Dynamic pricing transparency
198,,Male,South Asian,"10,001-20,000",Football,PSG,Investment buyer,Yes,26+,Game-Worn,4,Mint (perfect),2,4,"Yes, very interested",201-500,2-4 times a year,No impact,Maybe,"Yes, occasionally",Definitely yes,Third-party authentication certificates; Blockchain verification,Yes,"Yes, strongly",Authentication verification > AI-based recommendations > Dynamic pricing transparency > Rarity scoring system
199,55-65,Male,South Asian,"20,001-35,000",Football,Al Hilal,Hardcore collector,Yes,11-25,Regular replica,4,Mint (perfect),3,4,Not interested,"3,000+",5-10 times a year,Somewhat influences,"No, I prefer browsing on my own",No,Probably yes,Seller ratings and reviews; AI-powered authenticity checks; Money-back guarantee; Third-party authentication certificates,Maybe,Somewhat,Authentication verification > Rarity scoring system > AI-based recommendations > Dynamic pricing transparency
200,18-24,Male,East Asian,"20,001-35,000",Football,Real Madrid,Hardcore collector,Yes,11-25,Game-Worn,4,Condition doesn't matter if rare,3,3,Somewhat interested,"501-1,500",2-4 times a year,No impact,"No, I prefer browsing on my own",No,Probably no,AI-powered authenticity checks; Blockchain verification; Seller ratings and reviews; Money-back guarantee,Yes,"Yes, strongly",Authentication verification > AI-based recommendations > Dynamic pricing transparency > Rarity scoring system
201,18-24,Male,East Asian,"10,001-20,000",Basketball,Boston Celtics,Casual viewer,No,,Limited Edition,4,"Used (visible wear, but authentic)",3,1,Somewhat interested,50-200,2-4 times a year,Strongly influences,"Yes, definitely","Yes, occasionally",Probably no,Third-party authentication certificates,Maybe,Somewhat,AI-based recommendations > Dynamic pricing transparency > Authentication verification > Rarity scoring system
202,55-65,Male,Western Expat,"10,001-20,000",Other,Team India Hockey,Investment buyer,No,,Game-Worn,3,Condition doesn't matter if rare,4,5,Somewhat interested,Under 50,Once a year or less,No impact,"No, I prefer browsing on my own","Yes, occasionally",Definitely no,Money-back guarantee; Blockchain verification; AI-powered authenticity checks; Seller ratings and reviews,Yes,"Yes, strongly",Authentication verification > AI-based recommendations > Dynamic pricing transparency > Rarity scoring system
203,18-24,Female,East Asian,"Above 50,000",Baseball,SF Giants,Casual viewer,Yes,1-3,Vintage,4,Mint (perfect),4,3,"Yes, very interested",50-200,2-4 times a year,Strongly influences,"Yes, definitely","Yes, frequently",Not sure,Blockchain verification,No,Not really,Rarity scoring system > Dynamic pricing transparency > AI-based recommendations > Authentication verification
204,25-34,Female,South Asian,"10,001-20,000",Football,Arsenal,Passionate fan,Yes,11-25,Limited Edition,3,Condition doesn't matter if rare,4,4,Somewhat interested,201-500,2-4 times a year,Strongly influences,Maybe,"Yes, occasionally",Probably yes,AI-powered authenticity checks; Money-back guarantee,Maybe,Somewhat,AI-based recommendations > Dynamic pricing transparency > Authentication verification > Rarity scoring system
205,25-34,Male,East Asian,"3,000-10,000",Basketball,Chicago Bulls,Hardcore collector,Yes,11-25,Regular replica,4,Good (minor wear),2,3,"Yes, very interested",50-200,2-4 times a year,Strongly influences,"Yes, definitely","Yes, occasionally",Not sure,AI-powered authenticity checks; Seller ratings and reviews,Yes,Somewhat,Authentication verification > Rarity scoring system > AI-based recommendations > Dynamic pricing transparency
206,18-24,Prefer not to say,Western Expat,"10,001-20,000",Basketball,Brooklyn Nets,Casual viewer,Yes,1-3,Limited Edition,3,Good (minor wear),5,1,Not interested,"501-1,500",Once a year or less,Somewhat influences,"Yes, definitely",No,Probably no,Money-back guarantee; Blockchain verification,No,Somewhat,AI-based recommendations > Authentication verification > Rarity scoring system > Dynamic pricing transparency
207,18-24,Female,South Asian,"10,001-20,000",Football,Liverpool,Hardcore collector,Yes,11-25,Game-Worn,3,Good (minor wear),3,4,"Yes, very interested","501-1,500",2-4 times a year,Somewhat influences,"No, I prefer browsing on my own","Yes, occasionally",Definitely yes,Blockchain verification; Seller ratings and reviews; Money-back guarantee,Yes,"Yes, strongly",Authentication verification > AI-based recommendations > Dynamic pricing transparency > Rarity scoring system
208,25-34,Male,South Asian,"10,001-20,000",Cricket,Australia National,Hardcore collector,Yes,4-10,Game-Worn,5,Condition doesn't matter if rare,2,5,"Yes, very interested","501-1,500",2-4 times a year,Strongly influences,"No, I prefer browsing on my own","Yes, occasionally",Definitely no,Money-back guarantee; Third-party authentication certificates; Blockchain verification; AI-powered authenticity checks,Maybe,Somewhat,Authentication verification > AI-based recommendations > Dynamic pricing transparency > Rarity scoring system
209,18-24,Female,East Asian,"Below 3,000",Football,Barcelona,Casual viewer,No,,Regular replica,3,Good (minor wear),3,1,Somewhat interested,201-500,5-10 times a year,Somewhat influences,Maybe,"Yes, occasionally",,Seller ratings and reviews; Money-back guarantee,Maybe,Somewhat,AI-based recommendations > Dynamic pricing transparency > Rarity scoring system > Authentication verification
210,35-44,Male,Other,"Below 3,000",Cricket,RCB,Passionate fan,Yes,11-25,Signed by player,4,Good (minor wear),4,4,Somewhat interested,50-200,2-4 times a year,No impact,Maybe,"Yes, frequently",Definitely yes,AI-powered authenticity checks,No,"Yes, strongly",Authentication verification > Dynamic pricing transparency > AI-based recommendations > Rarity scoring system
211,25-34,Prefer not to say,East Asian,"Below 3,000",Baseball,Chicago Cubs,Passionate fan,Yes,4-10,Signed by player,3,Mint (perfect),4,3,Somewhat interested,201-500,2-4 times a year,Somewhat influences,"Yes, definitely","Yes, frequently",Definitely yes,Blockchain verification; Seller ratings and reviews; AI-powered authenticity checks,Maybe,"Yes, strongly",Dynamic pricing transparency > Rarity scoring system > Authentication verification > AI-based recommendations
212,25-34,Female,South Asian,"20,001-35,000",Cricket,RCB,Passionate fan,Yes,1-3,Game-Worn,4,Condition doesn't matter if rare,1,2,"Yes, very interested","3,000+",2-4 times a year,No impact,"Yes, definitely",No,Not sure,Third-party authentication certificates,Maybe,"Yes, strongly",Authentication verification > Rarity scoring system > Dynamic pricing transparency > AI-based recommendations
213,25-34,Prefer not to say,Arab,"20,001-35,000",Football,Liverpool,Hardcore collector,Yes,4-10,Game-Worn,3,Mint (perfect),3,5,Somewhat interested,"501-1,500",2-4 times a year,Somewhat influences,Maybe,"Yes, occasionally",Not sure,Seller ratings and reviews; Blockchain verification; Third-party authentication certificates; AI-powered authenticity checks,Maybe,"Yes, strongly",Authentication verification > Rarity scoring system > AI-based recommendations > Dynamic pricing transparency
214,25-34,Male,South Asian,"20,001-35,000",Football,Barcelona,Passionate fan,No,,Game-Worn,3,"Used (visible wear, but authentic)",4,1,Not interested,Under 50,Once a year or less,Strongly influences,"Yes, definitely",No,Probably yes,AI-powered authenticity checks; Blockchain verification; Seller ratings and reviews,No,"Yes, strongly",AI-based recommendations > Dynamic pricing transparency > Rarity scoring system > Authentication verification
215,25-34,Male,South Asian,"Below 3,000",Football,Real Madrid,Passionate fan,Yes,4-10,Game-Worn,4,Good (minor wear),3,3,"Yes, very interested","3,000+",2-4 times a year,Somewhat influences,Maybe,No,Probably no,Money-back guarantee; Seller ratings and reviews,Maybe,"Yes, strongly",Rarity scoring system > Dynamic pricing transparency > AI-based recommendations > Authentication verification
216,25-34,Male,Arab,"10,001-20,000",Football,Al Ahly,Casual viewer,No,,Regular replica,2,Mint (perfect),4,2,Not interested,Under 50,More than 10 times a year,Somewhat influences,"No, I prefer browsing on my own","Yes, occasionally",Not sure,Blockchain verification; Money-back guarantee,Yes,Somewhat,Dynamic pricing transparency > Authentication verification > AI-based recommendations > Rarity scoring system
217,45-54,Female,South Asian,"3,000-10,000",Football,Liverpool,Investment buyer,Yes,4-10,Game-Worn,4,Mint (perfect),3,4,Not interested,201-500,5-10 times a year,Strongly influences,Maybe,"Yes, occasionally",Definitely yes,AI-powered authenticity checks; Blockchain verification; Seller ratings and reviews,Yes,Somewhat,Authentication verification > AI-based recommendations > Dynamic pricing transparency > Rarity scoring system
